country_name,country_code,year,exports,gdp,gdp_per_capita,imports,inflation,tariff_rate
Brazil,BRA,2015,232488797699.731,1802211999456.42,8936.1955889444,253272683229.75,9.02990102416136,8.27
Brazil,BRA,2016,223863316065.497,1795693265999.04,8836.28546025694,216686360894.163,8.73914352329393,8.01
Brazil,BRA,2017,258330740894.672,2063514688805.78,10080.5078722821,243510550194.841,3.44637335032669,8.59
Brazil,BRA,2018,280543238553.765,1916933708352.71,9300.66072904004,272994437656.194,3.66485028376729,7.95
Brazil,BRA,2019,264562972885.655,1873288158838.63,9029.83304401079,276634806846.042,3.73297621216894,7.97
Brazil,BRA,2020,242872081037.195,1476107292151.95,7074.19407495707,233941255872.595,3.21176803803376,8.41
Brazil,BRA,2021,319251213851.504,1670647464062.96,7972.53696080695,309853321037.194,8.30165975585673,7.76
Brazil,BRA,2022,383177580523.381,1951923832083.87,9281.33282136864,374482461947.998,9.28010608956873,7.26
Brazil,BRA,2023,393731591579.688,2191131869706.02,10377.5897719195,343939899556.732,4.59356282283204,
Brazil,BRA,2024,392105352908.42,2185821648943.86,10310.5488778166,385708875013.773,4.36746407652337,
Canada,CAN,2015,495747450357.728,1556508816217.14,43594.1941045394,534115083556.223,1.12524136094277,1.65
Canada,CAN,2016,481357649980.237,1527994741907.43,42314.0615817218,517396012626.09,1.42875954701085,1.56
Canada,CAN,2017,518766780219.71,1649265644244.09,45129.628116623,554922650425.45,1.59688412852977,1.52
Canada,CAN,2018,557719627178.031,1725329192783.02,46539.1761570405,591347645767.306,2.26822567248103,1.47
Canada,CAN,2019,564142104614.779,1743725183672.52,46352.8693445211,589706748631.384,1.94926902411593,1.51
Canada,CAN,2020,487990676642.934,1655684730000.19,43537.839298904,524572641557.224,0.716999632307827,1.49
Canada,CAN,2021,630478158309.719,2022378748423.23,52886.6616372703,628388638999.206,3.39519318527528,2.35
Canada,CAN,2022,743495409319.726,2190411080134.32,56256.8007264015,731037232134.525,6.80280115341613,1.37
Canada,CAN,2023,724806087191.631,2173339670064.33,54220.3285039875,723340802845.546,3.87900159788426,
Canada,CAN,2024,727920466717.008,2243636826633.76,54340.3477224733,733807159315.92,2.38158383281173,
China,CHN,2015,2362097053274.6,11280814787468.9,8175.33285077393,2003260696068.67,1.43702380935655,4.52
China,CHN,2016,2199974853570.14,11456024084962.0,8254.86859320357,1944490534275.23,2.00000182191943,3.54
China,CHN,2017,2424216052098.35,12537559062282.9,8979.67652709856,2208518918632.2,1.59313600071436,3.83
China,CHN,2018,2655609176087.45,14147765772963.8,10085.6638148819,2564121910994.89,2.07479039965576,3.39
China,CHN,2019,2628941104657.6,14560167101283.4,10342.9009524335,2496153305902.9,2.89923416358227,2.53
China,CHN,2020,2729884575163.89,14996414166715.1,10627.4637989619,2374737462777.69,2.41942189457782,2.47
